,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
normal,,,,,,,,,,,,,,,,,,
fire,,,,,X,X,,,,,,X,,,,,X,
water,,X,,,,,,,X,,,,X,,,,,
electric,,,X,,,,,,,X,,,,,,,,
grass,,,X,,,,,,X,,,,X,,,,,
ice,,,,,X,,,,X,X,,,,,X,,,
fighting,X,,,,,X,,,,,,,X,,,X,X,
poison,,,,,X,,,,,,,,,,,,,X
ground,,X,,X,,,,X,,,,,X,,,,X,
flying,,,,,X,,X,,,,,X,,,,,,
psychic,,,,,,,X,X,,,,,,,,,,
bug,,,,,X,,,,,,X,,,,,X,,
rock,,X,,,,X,,,,X,,X,,,,,,
ghost,,,,,,,,,,,X,,,X,,,,
dragon,,,,,,,,,,,,,,,X,,,
dark,,,,,,,,,,,X,,,X,,,,
steel,,,,,,X,,,,,,,X,,,,,X
fairy,,,,,,,X,,,,,,,,X,X,,
